"No.","Time","Source","Destination","Protocol","Length","Info"
"4188","32.114115322","93.184.215.201","192.168.3.246","TCP","2868","[TCP Out-Of-Order] 443  >  44046 [ACK] Seq=30921751 Ack=2012 Win=70144 Len=2800 TSval=3603071332 TSecr=1862677781"
"4189","32.114125922","192.168.3.246","93.184.215.201","TCP","96","[TCP Dup ACK 4141#14] 44046  >  443 [ACK] Seq=2012 Ack=30855951 Win=1649792 Len=0 TSval=1862677795 TSecr=3603071306 SLE=30879751 SRE=30920351 SLE=31639951 SRE=31641351 SLE=31589551 SRE=31625951"
"4190","32.115354992","93.184.215.201","192.168.3.246","TCP","21068","[TCP Out-Of-Order] 443  >  44046 [PSH, ACK] Seq=30924551 Ack=2012 Win=70144 Len=21000 TSval=3603071332 TSecr=1862677781"
"4191","32.115426998","93.184.215.201","192.168.3.246","TCP","22468","[TCP Out-Of-Order] 443  >  44046 [PSH, ACK] Seq=30945551 Ack=2012 Win=70144 Len=22400 TSval=3603071332 TSecr=1862677781"
"4192","32.116225516","192.168.3.246","93.184.215.201","TCP","96","[TCP Dup ACK 4141#15] 44046  >  443 [ACK] Seq=2012 Ack=30855951 Win=1649792 Len=0 TSval=1862677796 TSecr=3603071306 SLE=30921751 SRE=30967951 SLE=30879751 SRE=30920351 SLE=31639951 SRE=31641351"
"4193","32.118218422","93.184.215.201","192.168.3.246","TCP","2868","[TCP Out-Of-Order] 443  >  44046 [ACK] Seq=30967951 Ack=2012 Win=70144 Len=2800 TSval=3603071336 TSecr=1862677784"
"4194","32.118357489","93.184.215.201","192.168.3.246","TCP","16868","[TCP Out-Of-Order] 443  >  44046 [ACK] Seq=30970751 Ack=2012 Win=70144 Len=16800 TSval=3603071336 TSecr=1862677784"
"4195","32.118944343","93.184.215.201","192.168.3.246","TCP","16868","[TCP Out-Of-Order] 443  >  44046 [PSH, ACK] Seq=30987551 Ack=2012 Win=70144 Len=16800 TSval=3603071336 TSecr=1862677784"
"4196","32.118972253","93.184.215.201","192.168.3.246","TCP","2868","[TCP Out-Of-Order] 443  >  44046 [ACK] Seq=31004351 Ack=2012 Win=70144 Len=2800 TSval=3603071336 TSecr=1862677784"
"4197","32.119092537","192.168.3.246","93.184.215.201","TCP","96","[TCP Dup ACK 4141#16] 44046  >  443 [ACK] Seq=2012 Ack=30855951 Win=1649792 Len=0 TSval=1862677800 TSecr=3603071306 SLE=30921751 SRE=31007151 SLE=30879751 SRE=30920351 SLE=31639951 SRE=31641351"
"4198","32.119532900","93.184.215.201","192.168.3.246","TCP","2868","[TCP Out-Of-Order] 443  >  44046 [PSH, ACK] Seq=31007151 Ack=2012 Win=70144 Len=2800 TSval=3603071336 TSecr=1862677784"
"4199","32.119532999","93.184.215.201","192.168.3.246","TCP","21068","[TCP Out-Of-Order] 443  >  44046 [PSH, ACK] Seq=31009951 Ack=2012 Win=70144 Len=21000 TSval=3603071336 TSecr=1862677784"
"4200","32.120219950","93.184.215.201","192.168.3.246","TCP","9868","[TCP Out-Of-Order] 443  >  44046 [PSH, ACK] Seq=31030951 Ack=2012 Win=70144 Len=9800 TSval=3603071338 TSecr=1862677787"
"4201","32.120220040","93.184.215.201","192.168.3.246","TCP","12668","[TCP Out-Of-Order] 443  >  44046 [ACK] Seq=31042151 Ack=2012 Win=70144 Len=12600 TSval=3603071338 TSecr=1862677787"
"4202","32.120251502","192.168.3.246","93.184.215.201","TCP","96","[TCP Dup ACK 4141#17] 44046  >  443 [ACK] Seq=2012 Ack=30855951 Win=1649792 Len=0 TSval=1862677801 TSecr=3603071306 SLE=30921751 SRE=31040751 SLE=30879751 SRE=30920351 SLE=31639951 SRE=31641351"
"4203","32.120853279","93.184.215.201","192.168.3.246","TCP","11268","[TCP Out-Of-Order] 443  >  44046 [ACK] Seq=31054751 Ack=2012 Win=70144 Len=11200 TSval=3603071338 TSecr=1862677787"
"4204","32.121706322","192.168.3.246","93.184.215.201","TCP","96","[TCP Dup ACK 4141#18] 44046  >  443 [ACK] Seq=2012 Ack=30855951 Win=1649792 Len=0 TSval=1862677802 TSecr=3603071306 SLE=31042151 SRE=31065951 SLE=30921751 SRE=31040751 SLE=30879751 SRE=30920351"
"4205","32.124128928","93.184.215.201","192.168.3.246","TCP","2868","[TCP Retransmission] 443  >  44046 [ACK] Seq=31068751 Ack=2012 Win=70144 Len=2800 TSval=3603071342 TSecr=1862677790"
"4206","32.124163412","93.184.215.201","192.168.3.246","TCP","2868","[TCP Retransmission] 443  >  44046 [PSH, ACK] Seq=31071551 Ack=2012 Win=70144 Len=2800 TSval=3603071342 TSecr=1862677790"
"4207","32.124163491","93.184.215.201","192.168.3.246","TCP","1468","[TCP Retransmission] 443  >  44046 [ACK] Seq=31074351 Ack=2012 Win=70144 Len=1400 TSval=3603071342 TSecr=1862677790"
"4208","32.124403408","93.184.215.201","192.168.3.246","TCP","1468","[TCP Retransmission] 443  >  44046 [PSH, ACK] Seq=31075751 Ack=2012 Win=70144 Len=1400 TSval=3603071342 TSecr=1862677790"
"4209","32.124981728","192.168.3.246","93.184.215.201","TCP","96","[TCP Dup ACK 4141#19] 44046  >  443 [ACK] Seq=2012 Ack=30855951 Win=1649792 Len=0 TSval=1862677805 TSecr=3603071306 SLE=31068751 SRE=31077151 SLE=31042151 SRE=31065951 SLE=30921751 SRE=31040751"
